"Subject" "Activity" "TimeBodyAccelerometerMean()-X" "TimeBodyAccelerometerMean()-Y" "TimeBodyAccelerometerMean()-Z" "TimeBodyAccelerometerSTD()-X" "TimeBodyAccelerometerSTD()-Y" "TimeBodyAccelerometerSTD()-Z" "TimeGravityAccelerometerMean()-X" "TimeGravityAccelerometerMean()-Y" "TimeGravityAccelerometerMean()-Z" "TimeGravityAccelerometerSTD()-X" "TimeGravityAccelerometerSTD()-Y" "TimeGravityAccelerometerSTD()-Z" "TimeBodyAccelerometerJerkMean()-X" "TimeBodyAccelerometerJerkMean()-Y" "TimeBodyAccelerometerJerkMean()-Z" "TimeBodyAccelerometerJerkSTD()-X" "TimeBodyAccelerometerJerkSTD()-Y" "TimeBodyAccelerometerJerkSTD()-Z" "TimeBodyGyroscopeMean()-X" "TimeBodyGyroscopeMean()-Y" "TimeBodyGyroscopeMean()-Z" "TimeBodyGyroscopeSTD()-X" "TimeBodyGyroscopeSTD()-Y" "TimeBodyGyroscopeSTD()-Z" "TimeBodyGyroscopeJerkMean()-X" "TimeBodyGyroscopeJerkMean()-Y" "TimeBodyGyroscopeJerkMean()-Z" "TimeBodyGyroscopeJerkSTD()-X" "TimeBodyGyroscopeJerkSTD()-Y" "TimeBodyGyroscopeJerkSTD()-Z" "TimeBodyAccelerometerMagnitudeMean()" "TimeBodyAccelerometerMagnitudeSTD()" "TimeGravityAccelerometerMagnitudeMean()" "TimeGravityAccelerometerMagnitudeSTD()" "TimeBodyAccelerometerJerkMagnitudeMean()" "TimeBodyAccelerometerJerkMagnitudeSTD()" "TimeBodyGyroscopeMagnitudeMean()" "TimeBodyGyroscopeMagnitudeSTD()" "TimeBodyGyroscopeJerkMagnitudeMean()" "TimeBodyGyroscopeJerkMagnitudeSTD()" "FrequencyBodyAccelerometerMean()-X" "FrequencyBodyAccelerometerMean()-Y" "FrequencyBodyAccelerometerMean()-Z" "FrequencyBodyAccelerometerSTD()-X" "FrequencyBodyAccelerometerSTD()-Y" "FrequencyBodyAccelerometerSTD()-Z" "FrequencyBodyAccelerometerMeanFreq()-X" "FrequencyBodyAccelerometerMeanFreq()-Y" "FrequencyBodyAccelerometerMeanFreq()-Z" "FrequencyBodyAccelerometerJerkMean()-X" "FrequencyBodyAccelerometerJerkMean()-Y" "FrequencyBodyAccelerometerJerkMean()-Z" "FrequencyBodyAccelerometerJerkSTD()-X" "FrequencyBodyAccelerometerJerkSTD()-Y" "FrequencyBodyAccelerometerJerkSTD()-Z" "FrequencyBodyAccelerometerJerkMeanFreq()-X" "FrequencyBodyAccelerometerJerkMeanFreq()-Y" "FrequencyBodyAccelerometerJerkMeanFreq()-Z" "FrequencyBodyGyroscopeMean()-X" "FrequencyBodyGyroscopeMean()-Y" "FrequencyBodyGyroscopeMean()-Z" "FrequencyBodyGyroscopeSTD()-X" "FrequencyBodyGyroscopeSTD()-Y" "FrequencyBodyGyroscopeSTD()-Z" "FrequencyBodyGyroscopeMeanFreq()-X" "FrequencyBodyGyroscopeMeanFreq()-Y" "FrequencyBodyGyroscopeMeanFreq()-Z" "FrequencyBodyAccelerometerMagnitudeMean()" "FrequencyBodyAccelerometerMagnitudeSTD()" "FrequencyBodyAccelerometerMagnitudeMeanFreq()" "FrequencyBodyAccelerometerJerkMagnitudeMean()" "FrequencyBodyAccelerometerJerkMagnitudeSTD()" "FrequencyBodyAccelerometerJerkMagnitudeMeanFreq()" "FrequencyBodyGyroscopeMagnitudeMean()" "FrequencyBodyGyroscopeMagnitudeSTD()" "FrequencyBodyGyroscopeMagnitudeMeanFreq()" "FrequencyBodyGyroscopeJerkMagnitudeMean()" "FrequencyBodyGyroscopeJerkMagnitudeSTD()" "FrequencyBodyGyroscopeJerkMagnitudeMeanFreq()"
1 "WALKING" 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.158366193475789 -0.185228109780842 -0.468963640631579 -0.299358486210526 -0.252466470458947 0.358565592315789 0.437234196526316 0.0423675045611579 -0.334959369631579 -0.400159856631579 -0.525604361789474 -0.645503002831579 -0.141761466323684 0.825961054526316 -0.863780189157895 0.0670025007684211 -0.502699788526316 -0.102204922170526 0.0859090134589474 -0.467556403052632 -0.290875778378947 -0.0383923339084211 -0.191309860546316 -0.362106180705263 -0.629247806947368 -0.813673812105263 -0.843559068315789 -0.157917519095789 -0.463731861157895 -0.338246326894737 -0.725683527894737 -0.0630329306810526 0.107702366137895 -0.409432594 0.353694184736842 -0.355539102663158 -0.432568706105263 -0.244014582968421 0.103337216747368 -0.888455906526316 -0.693076952 -0.80571018968421 -0.167829296226316 -0.219688645631579 -0.297425837894737 -0.382491789137895 -0.595334683894737 -0.281038459242105 0.769489292421053 0.0938221807027368 -0.104419399496947 0.478205569578947 0.237976243932632 -0.230007313031579 0.165740730368421 -0.724996404947368 -0.722607797368421 -0.824152039368421 -0.0354744933247368 -0.739236241052632 -0.370279522105263 -0.915448924210526 -0.944771973052632 -0.876076047157895 -0.371929823421053 -0.77928692768421 -0.930598701578947 -0.733913772105263 -0.913849623578947 -0.832682078105263 -0.591157856105263 -0.773072162842105 -0.911097014315789 -0.914399710631579 -0.78983286 -0.0427393448347368
1 "WALKING_UPSTAIRS" 0.255461689622641 -0.0239531492643396 -0.0973020020943396 -0.390413756415094 -0.440850306037736 -0.683705189433962 -0.192069977651132 0.0721915195018868 0.431169538301887 0.327277994150943 -0.00647454334471698 -0.524400431509434 -0.464753602264151 -0.854581878113208 -0.861349924339623 0.0141336506698113 0.719342348490566 -0.769715006037736 -0.378274426037736 -0.706593530943396 -0.428955456603774 -0.33899924245283 -0.677587858679245 -0.613967666226415 -0.305264220962264 -0.311294003566038 -0.169377561701887 -0.884895648301887 -0.929559813396226 -0.952473396037736 -0.0534866155283019 -0.61228706 -0.774621821509434 -0.895807454150943 -0.364162675924528 0.00374637040566038 -0.603776643207547 0.674438256415094 -0.606588130754717 -0.639050572641509 -0.273392982754717 0.10881789825283 -0.900638663396226 -0.824147331 -0.886761943962264 -0.371086859056604 -0.324970929245283 -0.388241179056604 -0.441956560339623 -0.849411234339623 -0.59566125490566 0.578532458490566 0.085352409154717 -0.363579661132075 0.193028584981132 -0.365025875130189 0.279921259396226 -0.0491976799056604 -0.770928005849057 -0.794778046981132 -0.897686123396226 -0.258957378867925 -0.788519948301887 -0.492419166037736 -0.98084875754717 -0.98321603245283 -0.961826089245283 -0.857861635471698 -0.93548387 -0.960396748301887 -0.935560801132076 -0.957930949245283 -0.957281487358491 -0.429201825471698 -0.928497336037736 -0.973492534339623 -0.968203466037736 -0.874785848301887 -0.447195782641509
1 "WALKING_DOWNSTAIRS" 0.289188320408163 -0.00991850461020408 -0.107566190908163 0.0363735707244898 -0.133422500326531 -0.344013569265306 -0.398996825510204 -0.205787239326531 0.236703360632653 0.37616076122449 0.169733414920408 -0.394878584122449 -0.548012794081633 -0.58529347244898 -0.698458958979592 -0.206320981041224 0.817406767346939 -0.879004752857143 -0.101601390640816 -0.345735032326531 -0.00216842288163265 -0.0851037908014286 -0.316282433673469 -0.169694122632653 0.189908398910204 -0.260082935612245 -0.357838717367347 -0.458943535346939 -0.702467576734694 -0.825625750204082 -0.231158929510204 -0.350313515306122 -0.56065619755102 -0.717049541836735 -0.191032660469388 -0.280042328004082 -0.226432215061224 0.511038277142857 -0.311897910422449 -0.302789654612245 -0.207294968428571 0.143486965732653 -0.858280840612245 -0.662479873673469 -0.775436405714286 -0.0970127224367347 0.0198843506265306 -0.100138189163265 -0.299005046612245 -0.546968743265306 -0.164694004232653 0.800510340204082 0.0764915474326531 -0.196565005959184 0.52455081244898 0.367143689383673 -0.451662069618367 0.423461960877551 -0.566389320616327 -0.749201523755102 -0.762025518163265 0.0965639087530612 -0.463148588163265 -0.514719307346939 -0.805101292857143 -0.862032036326531 -0.751561959183674 -0.919727890959184 -0.856484528979592 -0.923680606530612 -0.851113799387755 -0.904344151020408 -0.680318860408163 -0.678113930816327 -0.769576615714286 -0.895317615918367 -0.896320798367347 -0.621849786122449 -0.00400138552857143
1 "SITTING" 0.261237565425532 -0.00130828765170213 -0.104544182255319 -0.983515727446808 -0.976732255957447 -0.979809097446809 -0.932031700638298 -0.942854698510638 -0.594065364617021 -0.39939032487234 -0.521304053 0.152455853085106 -0.983731120425532 -0.99848763 -0.99627788212766 0.225336937808511 0.574696193021277 -0.879533994893617 -0.981371965319149 -0.987910804468085 -0.987729817234043 -0.980808891914894 -0.987453448297872 -0.98575278893617 0.217507940023404 -0.191779398687234 0.159929065085106 -0.999373880212766 -0.999486133191489 -0.999667115106383 -0.984944595106383 -0.95840426106383 -0.999120911276596 -0.999539361702128 0.152511136276596 -0.233370428585106 -0.98411784 0.991556533404255 -0.994436821489362 -0.993147754042553 0.271660456361702 -0.0522565170382979 -0.984565531702128 -0.984898810212766 -0.954117521276596 -0.96953203787234 -0.927078418723404 -0.931385653829787 0.0916162731889362 -0.999355262340425 -0.98636449893617 -0.798928170425532 0.351852201957447 -0.480942150808511 -0.959589706170213 0.0894903252553192 -0.171379818425532 0.166649813768085 -0.979553237234043 -0.948994453617021 -0.962461157446808 -0.96181318893617 -0.998340790425532 -0.985084336808511 -0.99939998106383 -0.998903638723404 -0.997688669148936 -0.896453900489362 -0.914893616595745 -0.999176114042553 -0.999651213191489 -0.999402036595745 -0.999768058297872 -0.993235808723404 -0.999789094468085 -0.99947712893617 -0.99753459 -0.992958364042553 -0.98261972212766
1 "STANDING" 0.278917629056604 -0.0161375901037736 -0.110601817735849 -0.993305557358491 -0.985988165660377 -0.985795656037736 -0.973516449056604 -0.978599930377358 -0.653732516603774 -0.562677675679245 -0.589450454150943 0.297424408301887 -0.99864807 -0.999709533207547 -0.999387366415094 -0.243890063075472 0.846175155471698 -0.861761176226415 -0.98564873245283 -0.992251177358491 -0.994776982075472 -0.98408541509434 -0.99137477245283 -0.994305414339623 0.210956762773585 -0.0829516195943396 0.156032601584906 -0.999877684528302 -0.999912806415094 -0.999921938490566 -0.989512191698113 -0.984329346981132 -0.999766992075472 -0.999719128301887 -0.00512713848867925 -0.459897160490566 -0.989576411509434 0.99307723245283 -0.996048223584906 -0.993097806037736 0.080829947990566 -0.146484764158491 -0.995445307735849 -0.990385674716981 -0.986047156037736 -0.986413939622641 -0.981942928867925 -0.982814583962264 -0.315111716283019 -0.999862616792453 -0.994223049622642 -0.84450743245283 0.422220102264151 -0.568218011226415 -0.996658396226415 0.0784050477792453 -0.186654435060377 0.163825722239623 -0.995319346415094 -0.987767022264151 -0.989838321509434 -0.988739688679245 -0.999959034528302 -0.998733756037736 -0.999826126792453 -0.999764903962264 -0.999544029622642 -0.918238993773585 -0.885575167169811 -0.999902024716981 -0.999946147169811 -0.999917994528302 -0.999883080943396 -0.99977727490566 -0.999979176981132 -0.999875246792453 -0.999477463773585 -0.999455610566038 -0.990740053962264
1 "LAYING" 0.22159824394 -0.0405139534294 -0.11320355358 -0.9483430226 -0.9354206258 -0.953602662 -0.87720402952 -0.82321252682 -0.372230682194 -0.49116701316 -0.40198004578 0.042987845004 -0.9263861344 -0.9917552558 -0.9708888942 0.24817268954 -0.9074593992 0.164573517502 -0.9241492736 -0.9548551108 -0.963631469 -0.9337327962 -0.9592706186 -0.9565454106 0.1275149057 -0.04245357008 0.146174602854 -0.9937447174 -0.996897003 -0.9977340718 -0.9709637386 -0.9405962364 -0.9854256262 -0.9846370168 0.252542752996 0.04403706094 -0.9431306684 0.89212957908 -0.9820308746 -0.9749176584 0.05755809046 -0.04829237488 -0.9259027828 -0.9750025224 -0.9568902732 -0.9023759348 -0.79514486386 -0.81016936098 -0.0592593172 -0.9915834674 -0.9580173314 -0.62924658674 0.26639115416 -0.389207745822 -0.8270531004 -0.1076311552812 0.00791182656 -0.009417440526 -0.9645797746 -0.9412311828 -0.9470157928 -0.8915852114 -0.9897355792 -0.931976485 -0.9979330042 -0.9949394678 -0.9870911118 -0.8759999994 -0.90193548364 -0.9763121328 -0.9847916574 -0.9778129572 -0.9965341284 -0.9953717078 -0.9974652768 -0.9982127622 -0.9929034812 -0.9864204228 -0.9280787516
2 "WALKING" 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.265866825644068 -0.137672917857627 -0.556109864067797 -0.392230918813559 -0.408763002542373 0.346780219322034 0.38487648120339 0.151969087845763 -0.245924085925424 -0.656667921016949 -0.331637071576271 -0.69358152 0.00459046757627119 0.76883742220339 -0.791632866101695 -0.0166022362847458 -0.586090418983051 -0.271097579237288 -0.0580763176338983 -0.576205905932203 -0.398423764067797 -0.0127912809237288 -0.278516797847458 0.0624083924322034 -0.625684735423729 -0.842339895254237 -0.879430917457627 -0.583514439661017 -0.593301381694915 -0.50557995779661 -0.58610356 0.105900774240678 -0.0801253883711864 -0.470018732372881 0.420722813050847 -0.677150951016949 -0.507420349152542 -0.234489654945763 0.295069827 -0.890284026779661 -0.870876983389831 -0.855637769661017 -0.442241703898305 -0.422544169322034 -0.494211893728814 -0.403612758813559 -0.699049496440678 -0.303340937677966 0.729217214237288 0.20750092670339 -0.00254912604067796 0.396208539661017 0.153761426999322 -0.153799709635593 0.0428938015644068 -0.731443256440678 -0.728240154611864 -0.862887200169491 -0.184280001627119 -0.830778074915254 -0.566292304745763 -0.952936305254237 -0.959608059661017 -0.912958478813559 -0.920903951694915 -0.739748498474576 -0.950695415423729 -0.735297825762712 -0.936008847288136 -0.955469949152542 -0.906744473898305 -0.935932219152542 -0.961424050677966 -0.929188463220339 -0.873070090508475 -0.134787572220339
2 "WALKING_UPSTAIRS" 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.222943865379583 -0.249013494347917 -0.530934131041667 -0.0947931754416667 -0.284847268104167 0.236298760916667 0.295978256525 0.109249252012708 -0.21012421055625 -0.378193088541667 -0.670217472916667 -0.688375989166667 0.3688921109375 0.476343300416667 -0.683439848333333 -0.185648954220833 -0.5737463525 -0.310505535875 -0.14482696538125 -0.561499435625 -0.448810898791667 0.0223930666395833 -0.45803089125 -0.138556992870208 -0.5533315354375 -0.718476685416667 -0.878284440208333 -0.509462297291667 -0.241274893375 -0.670769231041667 -0.685732447916667 0.1841551464375 0.440031015833333 -0.461828638333333 0.443668553958333 -0.691930824583333 -0.519287478333333 -0.0551792491979167 0.120307181435417 -0.870171726458333 -0.854121095 -0.843385884583333 -0.339990232708333 -0.205977045295833 -0.361505067708333 0.35084663685625 -0.732273863125 -0.476669341458333 0.6829160875 -0.0119168233583333 -0.223830448503333 0.407292974166667 0.0960547275814583 -0.244528448570833 0.319991629791667 -0.789166373333333 -0.766446103125 -0.838663185208333 -0.07548675531875 -0.752867485416667 -0.378177679375 -0.958079713958333 -0.942656223541667 -0.893582171875 -0.916666665208333 -0.924731181875 -0.930182063541667 -0.864989905833333 -0.856117641458333 -0.928376346666667 -0.854108372708333 -0.953860488541667 -0.894971178541667 -0.932848775 -0.628462754229167 -0.173454664739583
2 "WALKING_DOWNSTAIRS" 0.27761534806383 -0.0226614158361702 -0.116812942382979 0.170782980404255 0.0702702713440426 -0.26230541512766 -0.144548046112766 -0.191592563148936 0.0785968326659574 0.388665697446809 0.235278775404255 -0.236356612991489 -0.227936056 -0.362868423787234 -0.511299221042553 0.0854856612255319 0.641964147659574 -0.815436938723404 0.126828014557447 -0.340122023191489 0.0984002741553192 0.130793842326383 -0.334580552553191 0.0800458658021277 0.22422710973617 -0.530707239361702 -0.0715963052904255 -0.176892568425532 -0.463926185408511 -0.676461290361702 -0.510957961914894 -0.415809830851064 -0.302078761651064 -0.56674534212766 0.230421193882979 -0.107181265489362 0.0142176416668085 0.161767013659574 -0.610324182765957 -0.403003319680851 -0.0442998366319149 0.125647711948936 -0.856273266170213 -0.795428084765957 -0.762516893404255 -0.175101629234043 0.215586334889362 0.00163716701340425 -0.542331928851064 -0.393439222042553 -0.0458078327723404 0.825839079574468 0.0188355111404255 0.0750976283351064 0.627463399574468 0.276880559006383 -0.340749309929787 0.187380402638298 -0.702922832765957 -0.68006885406383 -0.814679872765957 0.2514480242 -0.442673706170213 -0.184752994225532 -0.886103894255319 -0.858973831914894 -0.778395435319149 -0.889361701914894 -0.718599862340425 -0.870111226170213 -0.677769981276596 -0.72117878212766 -0.86068808212766 -0.86380582 -0.87544976106383 -0.825299470425532 -0.851019153617021 -0.759261478297872 0.242387200234043
2 "SITTING" 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.986237689347826 -0.978071056521739 -0.979574138913043 -0.962625605434783 -0.958168110217391 -0.607037765652174 -0.457042084717391 -0.415597585869565 0.274764831152174 -0.994042474565217 -0.999105745869565 -0.997633087391304 -0.271070080217391 0.840362822826087 -0.978350845652174 -0.977983955434783 -0.98751821173913 -0.989188836521739 -0.977666515652174 -0.986769805869565 -0.985475052391304 0.212113447782609 -0.1510453538 0.0380489234586957 -0.999559359565217 -0.999663234782609 -0.999769564347826 -0.983705022391304 -0.96562374173913 -0.99957122826087 -0.999389953043478 0.182080612630435 -0.505954266021739 -0.980723688043478 0.98623131673913 -0.992814473695652 -0.988204110434783 0.191997725421739 0.00823813477391304 -0.991157281956522 -0.991033405652174 -0.966248905434783 -0.976823031521739 -0.953081444130435 -0.958719576521739 -0.187090071663043 -0.999653746304348 -0.989366296521739 -0.754864581521739 0.280062423956522 -0.568363489347826 -0.961771542391304 -0.0385820686869565 -0.0520868350217391 0.0884338520847826 -0.985262867391304 -0.969671000217391 -0.97531781326087 -0.97274242 -0.999344693695652 -0.994452909565217 -0.999531492608696 -0.99933459173913 -0.998510241086957 -0.88840579673913 -0.949509115869565 -0.999677406086957 -0.99981300673913 -0.999764237391304 -0.999860042391304 -0.999601490434783 -0.999933072173913 -0.999510826521739 -0.997924680434783 -0.998201445217391 -0.980972608913043
